driver_id,race_length,year,compound,stint_start_lap,tyre_life,is_valid
VER,5.412,2022,SOFT,1.0,17.0,1
VER,5.412,2022,SOFT,15.0,16.0,1
VER,5.412,2022,MEDIUM,31.0,13.0,1
GAS,5.412,2022,SOFT,44.0,14.0,1
GAS,5.412,2022,SOFT,1.0,17.0,1
GAS,5.412,2022,MEDIUM,15.0,18.0,1
PER,5.412,2022,SOFT,1.0,18.0,1
PER,5.412,2022,MEDIUM,16.0,18.0,1
PER,5.412,2022,SOFT,34.0,13.0,1
ALO,5.412,2022,SOFT,44.0,17.0,1
ALO,5.412,2022,SOFT,1.0,14.0,1
ALO,5.412,2022,MEDIUM,12.0,14.0,1
LEC,5.412,2022,SOFT,43.0,15.0,1
LEC,5.412,2022,SOFT,1.0,15.0,1
LEC,5.412,2022,SOFT,16.0,19.0,1
LEC,5.412,2022,MEDIUM,32.0,15.0,1
STR,5.412,2022,SOFT,47.0,14.0,1
STR,5.412,2022,SOFT,1.0,18.0,1
STR,5.412,2022,SOFT,19.0,20.0,1
MAG,5.412,2022,SOFT,46.0,12.0,1
MAG,5.412,2022,SOFT,1.0,14.0,1
MAG,5.412,2022,SOFT,15.0,23.0,1
MAG,5.412,2022,MEDIUM,35.0,12.0,1
TSU,5.412,2022,SOFT,47.0,14.0,1
TSU,5.412,2022,SOFT,1.0,15.0,1
TSU,5.412,2022,MEDIUM,16.0,14.0,1
TSU,5.412,2022,SOFT,30.0,15.0,1
ALB,5.412,2022,SOFT,45.0,16.0,1
ALB,5.412,2022,SOFT,1.0,13.0,1
ALB,5.412,2022,MEDIUM,14.0,22.0,1
ALB,5.412,2022,MEDIUM,36.0,13.0,1
ZHO,5.412,2022,SOFT,47.0,14.0,1
ZHO,5.412,2022,SOFT,1.0,15.0,1
ZHO,5.412,2022,MEDIUM,16.0,22.0,1
HUL,5.412,2022,SOFT,46.0,15.0,1
HUL,5.412,2022,SOFT,1.0,19.0,1
HUL,5.412,2022,SOFT,20.0,18.0,1
RIC,5.412,2022,SOFT,45.0,13.0,1
RIC,5.412,2022,MEDIUM,1.0,17.0,1
RIC,5.412,2022,SOFT,18.0,16.0,1
OCO,5.412,2022,SOFT,45.0,13.0,1
OCO,5.412,2022,SOFT,1.0,14.0,1
OCO,5.412,2022,MEDIUM,15.0,16.0,1
NOR,5.412,2022,SOFT,44.0,17.0,1
NOR,5.412,2022,MEDIUM,1.0,24.0,1
HAM,5.412,2022,SOFT,46.0,15.0,1
HAM,5.412,2022,SOFT,1.0,13.0,1
HAM,5.412,2022,MEDIUM,28.0,17.0,1
MSC,5.412,2022,SOFT,45.0,16.0,1
MSC,5.412,2022,SOFT,1.0,12.0,1
MSC,5.412,2022,MEDIUM,13.0,23.0,1
SAI,5.412,2022,SOFT,36.0,24.0,1
SAI,5.412,2022,SOFT,1.0,17.0,1
SAI,5.412,2022,SOFT,15.0,19.0,1
LAT,5.412,2022,SOFT,45.0,16.0,1
LAT,5.412,2022,SOFT,1.0,14.0,1
LAT,5.412,2022,SOFT,15.0,18.0,1
LAT,5.412,2022,MEDIUM,33.0,13.0,1
RUS,5.412,2022,SOFT,46.0,15.0,1
RUS,5.412,2022,SOFT,1.0,18.0,1
RUS,5.412,2022,HARD,16.0,19.0,1
RUS,5.412,2022,MEDIUM,34.0,12.0,1
BOT,5.412,2022,SOFT,46.0,14.0,1
BOT,5.412,2022,SOFT,1.0,17.0,1
BOT,5.412,2022,MEDIUM,15.0,22.0,1
VER,6.174,2022,MEDIUM,1.0,16.0,1
GAS,6.174,2022,HARD,17.0,34.0,1
GAS,6.174,2022,MEDIUM,1.0,15.0,1
PER,6.174,2022,HARD,16.0,35.0,1
PER,6.174,2022,MEDIUM,1.0,15.0,1
ALO,6.174,2022,HARD,16.0,35.0,1
ALO,6.174,2022,MEDIUM,1.0,16.0,1
LEC,6.174,2022,HARD,17.0,20.0,1
LEC,6.174,2022,MEDIUM,1.0,16.0,1
STR,6.174,2022,HARD,17.0,34.0,1
STR,6.174,2022,MEDIUM,1.0,14.0,1
MAG,6.174,2022,HARD,14.0,37.0,1
MAG,6.174,2022,HARD,1.0,39.0,1
ALB,6.174,2022,MEDIUM,38.0,15.0,1
ALB,6.174,2022,MEDIUM,1.0,13.0,1
ZHO,6.174,2022,HARD,14.0,35.0,1
ZHO,6.174,2022,MEDIUM,1.0,16.0,1
HUL,6.174,2022,HARD,17.0,34.0,1
HUL,6.174,2022,HARD,1.0,38.0,1
RIC,6.174,2022,MEDIUM,38.0,14.0,1
OCO,6.174,2022,HARD,9.0,28.0,1
OCO,6.174,2022,MEDIUM,1.0,16.0,1
NOR,6.174,2022,HARD,17.0,34.0,1
NOR,6.174,2022,MEDIUM,1.0,16.0,1
HAM,6.174,2022,HARD,17.0,34.0,1
HAM,6.174,2022,HARD,1.0,41.0,1
SAI,6.174,2022,MEDIUM,1.0,16.0,1
LAT,6.174,2022,HARD,17.0,34.0,1
RUS,6.174,2022,MEDIUM,1.0,15.0,1
RUS,6.174,2022,MEDIUM,1.0,16.0,1
BOT,6.174,2022,HARD,17.0,34.0,1
BOT,6.174,2022,MEDIUM,1.0,16.0,1
BOT,6.174,2022,HARD,17.0,19.0,1
VER,5.278,2022,MEDIUM,1.0,18.0,1
GAS,5.278,2022,HARD,19.0,21.0,1
GAS,5.278,2022,MEDIUM,1.0,21.0,1
PER,5.278,2022,HARD,22.0,37.0,1
PER,5.278,2022,MEDIUM,1.0,20.0,1
ALO,5.278,2022,HARD,21.0,38.0,1
ALO,5.278,2022,HARD,1.0,39.0,1
ALO,5.278,2022,MEDIUM,40.0,14.0,1
LEC,5.278,2022,MEDIUM,1.0,22.0,1
STR,5.278,2022,HARD,23.0,36.0,1
STR,5.278,2022,HARD,5.0,19.0,1
MAG,5.278,2022,HARD,24.0,39.0,1
MAG,5.278,2022,HARD,1.0,39.0,1
TSU,5.278,2022,MEDIUM,40.0,20.0,1
TSU,5.278,2022,MEDIUM,1.0,18.0,1
ALB,5.278,2022,HARD,19.0,39.0,1
ZHO,5.278,2022,MEDIUM,1.0,21.0,1
RIC,5.278,2022,HARD,22.0,37.0,1
RIC,5.278,2022,MEDIUM,1.0,21.0,1
OCO,5.278,2022,HARD,22.0,37.0,1
OCO,5.278,2022,MEDIUM,1.0,17.0,1
NOR,5.278,2022,HARD,18.0,41.0,1
NOR,5.278,2022,MEDIUM,1.0,20.0,1
HAM,5.278,2022,HARD,21.0,38.0,1
HAM,5.278,2022,MEDIUM,1.0,22.0,1
MSC,5.278,2022,HARD,23.0,36.0,1
MSC,5.278,2022,MEDIUM,1.0,16.0,1
VET,5.278,2022,HARD,15.0,43.0,1
SAI,5.278,2022,HARD,1.0,24.0,1
LAT,5.278,2022,MEDIUM,1.0,13.0,1
RUS,5.278,2022,HARD,24.0,34.0,1
RUS,5.278,2022,MEDIUM,1.0,23.0,1
BOT,5.278,2022,HARD,24.0,35.0,1
BOT,5.278,2022,MEDIUM,1.0,22.0,1
VER,4.909,2022,MEDIUM,20.0,32.0,1
PER,4.909,2022,SOFT,52.0,12.0,1
PER,4.909,2022,MEDIUM,19.0,32.0,1
NOR,4.909,2022,SOFT,51.0,13.0,1
RUS,4.909,2022,MEDIUM,20.0,44.0,1
LEC,4.909,2022,MEDIUM,20.0,30.0,1
TSU,4.909,2022,SOFT,54.0,10.0,1
OCO,4.909,2022,MEDIUM,19.0,44.0,1
ZHO,4.909,2022,MEDIUM,19.0,44.0,1
LAT,4.909,2022,MEDIUM,19.0,44.0,1
MSC,4.909,2022,MEDIUM,19.0,44.0,1
MSC,4.909,2022,MEDIUM,19.0,36.0,1
RIC,4.909,2022,SOFT,53.0,10.0,1
RIC,4.909,2022,MEDIUM,17.0,14.0,1
ALO,4.909,2022,HARD,31.0,32.0,1
VER,5.412,2022,MEDIUM,1.0,26.0,1
GAS,5.412,2022,HARD,27.0,31.0,1
GAS,5.412,2022,MEDIUM,1.0,16.0,1
GAS,5.412,2022,HARD,17.0,24.0,1
PER,5.412,2022,SOFT,41.0,8.0,1
PER,5.412,2022,MEDIUM,1.0,27.0,1
ALO,5.412,2022,MEDIUM,42.0,16.0,1
ALO,5.412,2022,MEDIUM,1.0,15.0,1
LEC,5.412,2022,HARD,16.0,43.0,1
LEC,5.412,2022,MEDIUM,1.0,24.0,1
STR,5.412,2022,HARD,25.0,33.0,1
STR,5.412,2022,HARD,1.0,42.0,1
MAG,5.412,2022,MEDIUM,41.0,19.0,1
MAG,5.412,2022,MEDIUM,1.0,12.0,1
MAG,5.412,2022,HARD,13.0,30.0,1
TSU,5.412,2022,MEDIUM,43.0,15.0,1
TSU,5.412,2022,HARD,12.0,30.0,1
ALB,5.412,2022,SOFT,42.0,19.0,1
ALB,5.412,2022,MEDIUM,1.0,16.0,1
ZHO,5.412,2022,HARD,17.0,41.0,1
RIC,5.412,2022,MEDIUM,1.0,30.0,1
OCO,5.412,2022,SOFT,42.0,16.0,1
OCO,5.412,2022,HARD,1.0,41.0,1
NOR,5.412,2022,SOFT,42.0,16.0,1
NOR,5.412,2022,MEDIUM,1.0,18.0,1
HAM,5.412,2022,HARD,19.0,22.0,1
HAM,5.412,2022,MEDIUM,1.0,22.0,1
MSC,5.412,2022,HARD,23.0,35.0,1
MSC,5.412,2022,MEDIUM,1.0,14.0,1
MSC,5.412,2022,HARD,15.0,40.0,1
VET,5.412,2022,HARD,1.0,43.0,1
SAI,5.412,2022,MEDIUM,42.0,15.0,1
SAI,5.412,2022,MEDIUM,1.0,27.0,1
LAT,5.412,2022,HARD,28.0,30.0,1
LAT,5.412,2022,HARD,1.0,34.0,1
RUS,5.412,2022,MEDIUM,35.0,23.0,1
RUS,5.412,2022,HARD,1.0,40.0,1
BOT,5.412,2022,MEDIUM,41.0,17.0,1
BOT,5.412,2022,MEDIUM,1.0,26.0,1
VER,4.657,2022,SOFT,1.0,16.0,1
VER,4.657,2022,MEDIUM,14.0,15.0,1
VER,4.657,2022,SOFT,29.0,19.0,1
PER,4.657,2022,MEDIUM,45.0,22.0,1
PER,4.657,2022,SOFT,1.0,20.0,1
PER,4.657,2022,MEDIUM,18.0,20.0,1
PER,4.657,2022,MEDIUM,38.0,16.0,1
RUS,4.657,2022,SOFT,54.0,16.0,1
RUS,4.657,2022,SOFT,1.0,16.0,1
RUS,4.657,2022,MEDIUM,14.0,23.0,1
RUS,4.657,2022,MEDIUM,37.0,15.0,1
SAI,4.657,2022,SOFT,52.0,17.0,1
SAI,4.657,2022,SOFT,1.0,13.0,1
SAI,4.657,2022,MEDIUM,11.0,21.0,1
SAI,4.657,2022,MEDIUM,32.0,14.0,1
HAM,4.657,2022,SOFT,46.0,24.0,1
HAM,4.657,2022,SOFT,2.0,23.0,1
HAM,4.657,2022,MEDIUM,23.0,26.0,1
BOT,4.657,2022,SOFT,49.0,21.0,1
BOT,4.657,2022,SOFT,1.0,17.0,1
BOT,4.657,2022,MEDIUM,15.0,20.0,1
OCO,4.657,2022,MEDIUM,35.0,32.0,1
OCO,4.657,2022,SOFT,1.0,13.0,1
OCO,4.657,2022,MEDIUM,14.0,22.0,1
OCO,4.657,2022,SOFT,36.0,20.0,1
NOR,4.657,2022,SOFT,53.0,17.0,1
NOR,4.657,2022,SOFT,1.0,12.0,1
NOR,4.657,2022,MEDIUM,13.0,21.0,1
NOR,4.657,2022,SOFT,34.0,21.0,1
ALO,4.657,2022,SOFT,52.0,18.0,1
ALO,4.657,2022,SOFT,1.0,10.0,1
ALO,4.657,2022,MEDIUM,11.0,21.0,1
ALO,4.657,2022,SOFT,32.0,22.0,1
TSU,4.657,2022,SOFT,54.0,14.0,1
TSU,4.657,2022,SOFT,1.0,11.0,1
TSU,4.657,2022,MEDIUM,12.0,21.0,1
TSU,4.657,2022,SOFT,33.0,23.0,1
VET,4.657,2022,SOFT,53.0,16.0,1
VET,4.657,2022,SOFT,1.0,24.0,1
VET,4.657,2022,SOFT,22.0,24.0,1
RIC,4.657,2022,MEDIUM,43.0,24.0,1
RIC,4.657,2022,SOFT,1.0,14.0,1
RIC,4.657,2022,SOFT,12.0,23.0,1
RIC,4.657,2022,MEDIUM,32.0,17.0,1
GAS,4.657,2022,SOFT,49.0,20.0,1
GAS,4.657,2022,SOFT,1.0,10.0,1
GAS,4.657,2022,MEDIUM,11.0,19.0,1
GAS,4.657,2022,SOFT,30.0,20.0,1
MSC,4.657,2022,SOFT,47.0,22.0,1
MSC,4.657,2022,SOFT,1.0,14.0,1
MSC,4.657,2022,SOFT,13.0,21.0,1
STR,4.657,2022,MEDIUM,31.0,35.0,1
STR,4.657,2022,SOFT,1.0,17.0,1
STR,4.657,2022,SOFT,15.0,16.0,1
STR,4.657,2022,MEDIUM,28.0,20.0,1
LAT,4.657,2022,SOFT,47.0,19.0,1
LAT,4.657,2022,SOFT,1.0,12.0,1
LAT,4.657,2022,MEDIUM,13.0,14.0,1
LAT,4.657,2022,SOFT,27.0,24.0,1
MAG,4.657,2022,SOFT,51.0,17.0,1
MAG,4.657,2022,MEDIUM,2.0,28.0,1
ALB,4.657,2022,HARD,30.0,35.0,1
ALB,4.657,2022,SOFT,1.0,11.0,1
ALB,4.657,2022,MEDIUM,12.0,14.0,1
ALB,4.657,2022,SOFT,26.0,20.0,1
ZHO,4.657,2022,SOFT,55.0,13.0,1
ZHO,4.657,2022,SOFT,1.0,10.0,1
LEC,4.657,2022,MEDIUM,11.0,18.0,1
LEC,4.657,2022,SOFT,1.0,21.0,1
GAS,3.337,2022,MEDIUM,31.0,34.0,1
GAS,3.337,2022,HARD,3.0,28.0,1
PER,3.337,2022,HARD,31.0,42.0,1
ALO,3.337,2022,MEDIUM,31.0,34.0,1
ALO,3.337,2022,HARD,1.0,30.0,1
LEC,3.337,2022,MEDIUM,31.0,34.0,1
STR,3.337,2022,HARD,22.0,43.0,1
TSU,3.337,2022,HARD,7.0,23.0,1
TSU,3.337,2022,MEDIUM,30.0,27.0,1
ALB,3.337,2022,HARD,1.0,22.0,1
ZHO,3.337,2022,MEDIUM,23.0,27.0,1
ZHO,3.337,2022,HARD,1.0,29.0,1
RIC,3.337,2022,MEDIUM,30.0,34.0,1
RIC,3.337,2022,HARD,1.0,30.0,1
OCO,3.337,2022,HARD,31.0,45.0,1
OCO,3.337,2022,HARD,1.0,30.0,1
NOR,3.337,2022,MEDIUM,31.0,34.0,1
NOR,3.337,2022,HARD,23.0,29.0,1
HAM,3.337,2022,MEDIUM,52.0,13.0,1
MSC,3.337,2022,MEDIUM,31.0,34.0,1
VET,3.337,2022,HARD,5.0,21.0,1
VET,3.337,2022,HARD,7.0,25.0,1
SAI,3.337,2022,HARD,31.0,42.0,1
SAI,3.337,2022,HARD,1.0,30.0,1
LAT,3.337,2022,HARD,31.0,43.0,1
RUS,3.337,2022,HARD,1.0,30.0,1
BOT,3.337,2022,MEDIUM,31.0,34.0,1
BOT,3.337,2022,HARD,1.0,30.0,1
VER,6.003,2022,MEDIUM,1.0,18.0,1
PER,6.003,2022,HARD,10.0,42.0,1
PER,6.003,2022,MEDIUM,1.0,16.0,1
ALO,6.003,2022,MEDIUM,1.0,18.0,1
LEC,6.003,2022,HARD,19.0,33.0,1
STR,6.003,2022,HARD,1.0,31.0,1
MAG,6.003,2022,MEDIUM,31.0,17.0,1
TSU,6.003,2022,HARD,10.0,23.0,1
TSU,6.003,2022,HARD,10.0,29.0,1
ALB,6.003,2022,SOFT,39.0,15.0,1
ALB,6.003,2022,HARD,10.0,20.0,1
ZHO,6.003,2022,HARD,30.0,21.0,1
RIC,6.003,2022,HARD,1.0,33.0,1
OCO,6.003,2022,MEDIUM,34.0,18.0,1
OCO,6.003,2022,HARD,1.0,33.0,1
NOR,6.003,2022,MEDIUM,34.0,18.0,1
NOR,6.003,2022,MEDIUM,1.0,20.0,1
HAM,6.003,2022,HARD,21.0,31.0,1
HAM,6.003,2022,HARD,10.0,24.0,1
MSC,6.003,2022,HARD,34.0,19.0,1
MSC,6.003,2022,MEDIUM,10.0,16.0,1
VET,6.003,2022,HARD,24.0,27.0,1
SAI,6.003,2022,HARD,10.0,43.0,1
LAT,6.003,2022,MEDIUM,1.0,17.0,1
RUS,6.003,2022,HARD,18.0,33.0,1
RUS,6.003,2022,HARD,10.0,24.0,1
BOT,6.003,2022,HARD,34.0,19.0,1
BOT,6.003,2022,HARD,1.0,33.0,1
VER,4.361,2022,HARD,10.0,34.0,1
GAS,4.361,2022,HARD,44.0,27.0,1
GAS,4.361,2022,HARD,6.0,31.0,1
PER,4.361,2022,HARD,37.0,34.0,1
ALO,4.361,2022,MEDIUM,1.0,28.0,1
ALO,4.361,2022,HARD,29.0,21.0,1
LEC,4.361,2022,MEDIUM,50.0,21.0,1
LEC,4.361,2022,HARD,1.0,41.0,1
STR,4.361,2022,MEDIUM,42.0,29.0,1
STR,4.361,2022,HARD,1.0,47.0,1
MAG,4.361,2022,MEDIUM,48.0,24.0,1
ALB,4.361,2022,HARD,10.0,38.0,1
ALB,4.361,2022,MEDIUM,1.0,18.0,1
ALB,4.361,2022,HARD,19.0,30.0,1
ZHO,4.361,2022,HARD,49.0,22.0,1
ZHO,4.361,2022,MEDIUM,1.0,19.0,1
ZHO,4.361,2022,HARD,20.0,30.0,1
RIC,4.361,2022,HARD,50.0,21.0,1
RIC,4.361,2022,MEDIUM,1.0,19.0,1
RIC,4.361,2022,HARD,20.0,30.0,1
OCO,4.361,2022,HARD,50.0,21.0,1
OCO,4.361,2022,MEDIUM,1.0,19.0,1
OCO,4.361,2022,HARD,20.0,30.0,1
NOR,4.361,2022,MEDIUM,50.0,21.0,1
NOR,4.361,2022,HARD,1.0,19.0,1
NOR,4.361,2022,HARD,20.0,23.0,1
HAM,4.361,2022,MEDIUM,43.0,28.0,1
HAM,4.361,2022,HARD,10.0,35.0,1
MSC,4.361,2022,HARD,45.0,26.0,1
VET,4.361,2022,MEDIUM,1.0,19.0,1
SAI,4.361,2022,HARD,20.0,51.0,1
SAI,4.361,2022,MEDIUM,1.0,20.0,1
SAI,4.361,2022,HARD,21.0,29.0,1
LAT,4.361,2022,HARD,50.0,21.0,1
LAT,4.361,2022,HARD,10.0,28.0,1
RUS,4.361,2022,HARD,38.0,33.0,1
RUS,4.361,2022,MEDIUM,1.0,19.0,1
RUS,4.361,2022,HARD,20.0,26.0,1
BOT,4.361,2022,HARD,46.0,25.0,1
BOT,4.361,2022,HARD,1.0,49.0,1
GAS,5.891,2022,SOFT,40.0,13.0,1
GAS,5.891,2022,SOFT,2.0,15.0,1
PER,5.891,2022,MEDIUM,6.0,35.0,1
ALO,5.891,2022,SOFT,40.0,13.0,1
ALO,5.891,2022,MEDIUM,2.0,32.0,1
LEC,5.891,2022,SOFT,40.0,13.0,1
LEC,5.891,2022,MEDIUM,2.0,24.0,1
STR,5.891,2022,HARD,26.0,27.0,1
STR,5.891,2022,MEDIUM,2.0,16.0,1
STR,5.891,2022,HARD,16.0,26.0,1
MAG,5.891,2022,MEDIUM,41.0,15.0,1
MAG,5.891,2022,MEDIUM,2.0,23.0,1
TSU,5.891,2022,MEDIUM,23.0,30.0,1
TSU,5.891,2022,SOFT,2.0,17.0,1
TSU,5.891,2022,HARD,19.0,21.0,1
ALB,5.891,2022,SOFT,39.0,14.0,1
RIC,5.891,2022,MEDIUM,1.0,20.0,1
OCO,5.891,2022,SOFT,39.0,14.0,1
OCO,5.891,2022,SOFT,2.0,21.0,1
NOR,5.891,2022,MEDIUM,1.0,34.0,1
HAM,5.891,2022,SOFT,41.0,12.0,1
HAM,5.891,2022,MEDIUM,2.0,32.0,1
MSC,5.891,2022,SOFT,40.0,13.0,1
MSC,5.891,2022,MEDIUM,2.0,18.0,1
MSC,5.891,2022,HARD,20.0,20.0,1
VET,5.891,2022,SOFT,40.0,13.0,1
VET,5.891,2022,MEDIUM,7.0,35.0,1
SAI,5.891,2022,MEDIUM,40.0,15.0,1
SAI,5.891,2022,MEDIUM,2.0,19.0,1
SAI,5.891,2022,HARD,21.0,19.0,1
LAT,5.891,2022,SOFT,40.0,13.0,1
LAT,5.891,2022,SOFT,2.0,18.0,1
LAT,5.891,2022,MEDIUM,20.0,20.0,1
RUS,5.891,2022,SOFT,40.0,14.0,1
VER,4.326,2022,MEDIUM,1.0,13.0,1
VER,4.326,2022,HARD,14.0,23.0,1
GAS,4.326,2022,MEDIUM,37.0,35.0,1
GAS,4.326,2022,MEDIUM,1.0,12.0,1
ALO,4.326,2022,HARD,4.0,21.0,1
ALO,4.326,2022,HARD,1.0,27.0,1
ALO,4.326,2022,MEDIUM,28.0,31.0,1
LEC,4.326,2022,MEDIUM,59.0,12.0,1
LEC,4.326,2022,MEDIUM,1.0,26.0,1
LEC,4.326,2022,HARD,27.0,32.0,1
STR,4.326,2022,MEDIUM,59.0,13.0,1
STR,4.326,2022,MEDIUM,1.0,31.0,1
MAG,4.326,2022,MEDIUM,30.0,43.0,1
MAG,4.326,2022,MEDIUM,1.0,15.0,1
TSU,4.326,2022,HARD,16.0,55.0,1
TSU,4.326,2022,HARD,1.0,26.0,1
ALB,4.326,2022,HARD,27.0,44.0,1
ZHO,4.326,2022,HARD,1.0,24.0,1
RIC,4.326,2022,MEDIUM,1.0,12.0,1
OCO,4.326,2022,MEDIUM,1.0,16.0,1
NOR,4.326,2022,HARD,17.0,55.0,1
NOR,4.326,2022,MEDIUM,1.0,14.0,1
HAM,4.326,2022,HARD,15.0,56.0,1
HAM,4.326,2022,MEDIUM,1.0,28.0,1
MSC,4.326,2022,MEDIUM,29.0,43.0,1
MSC,4.326,2022,MEDIUM,1.0,16.0,1
VET,4.326,2022,HARD,17.0,54.0,1
VET,4.326,2022,HARD,1.0,21.0,1
SAI,4.326,2022,MEDIUM,1.0,27.0,1
LAT,4.326,2022,HARD,28.0,30.0,1
LAT,4.326,2022,MEDIUM,1.0,12.0,1
RUS,4.326,2022,HARD,14.0,35.0,1
VER,5.842,2022,MEDIUM,1.0,16.0,1
GAS,5.842,2022,HARD,17.0,37.0,1
PER,5.842,2022,MEDIUM,19.0,35.0,1
PER,5.842,2022,MEDIUM,1.0,18.0,1
ALO,5.842,2022,HARD,19.0,35.0,1
ALO,5.842,2022,MEDIUM,1.0,18.0,1
LEC,5.842,2022,HARD,19.0,35.0,1
STR,5.842,2022,MEDIUM,1.0,18.0,1
STR,5.842,2022,MEDIUM,1.0,20.0,1
MAG,5.842,2022,HARD,19.0,36.0,1
TSU,5.842,2022,HARD,19.0,20.0,1
ALB,5.842,2022,MEDIUM,1.0,18.0,1
ZHO,5.842,2022,HARD,19.0,35.0,1
RIC,5.842,2022,HARD,23.0,26.0,1
RIC,5.842,2022,MEDIUM,1.0,18.0,1
