circut_length,compound,tyre_life,is_valid
5.412,SOFT,17.0,1
5.412,SOFT,16.0,1
5.412,SOFT,14.0,1
5.412,SOFT,17.0,1
5.412,SOFT,18.0,1
5.412,MEDIUM,18.0,1
5.412,SOFT,13.0,1
5.412,SOFT,17.0,1
5.412,SOFT,14.0,1
5.412,SOFT,15.0,1
5.412,SOFT,15.0,1
5.412,SOFT,19.0,1
5.412,SOFT,14.0,1
5.412,SOFT,18.0,1
5.412,SOFT,20.0,1
5.412,SOFT,12.0,1
5.412,SOFT,14.0,1
5.412,SOFT,23.0,1
5.412,SOFT,14.0,1
5.412,SOFT,15.0,1
5.412,SOFT,15.0,1
5.412,SOFT,16.0,1
5.412,SOFT,13.0,1
5.412,SOFT,14.0,1
5.412,SOFT,15.0,1
5.412,MEDIUM,22.0,1
5.412,SOFT,15.0,1
5.412,SOFT,19.0,1
5.412,SOFT,18.0,1
5.412,SOFT,13.0,1
5.412,MEDIUM,17.0,1
5.412,SOFT,16.0,1
5.412,SOFT,13.0,1
5.412,SOFT,14.0,1
5.412,MEDIUM,16.0,1
5.412,SOFT,17.0,1
5.412,SOFT,15.0,1
5.412,SOFT,13.0,1
5.412,SOFT,16.0,1
5.412,SOFT,12.0,1
5.412,MEDIUM,23.0,1
5.412,SOFT,17.0,1
5.412,SOFT,19.0,1
5.412,SOFT,16.0,1
5.412,SOFT,14.0,1
5.412,SOFT,18.0,1
5.412,SOFT,15.0,1
5.412,SOFT,18.0,1
5.412,SOFT,14.0,1
5.412,SOFT,17.0,1
5.412,MEDIUM,22.0,1
6.174,HARD,34.0,1
6.174,HARD,35.0,1
6.174,HARD,35.0,1
6.174,MEDIUM,16.0,1
6.174,MEDIUM,16.0,1
6.174,HARD,34.0,1
6.174,HARD,37.0,1
6.174,HARD,39.0,1
6.174,HARD,35.0,1
6.174,HARD,34.0,1
6.174,HARD,38.0,1
6.174,MEDIUM,16.0,1
6.174,HARD,34.0,1
6.174,HARD,34.0,1
6.174,HARD,41.0,1
6.174,MEDIUM,16.0,1
6.174,HARD,34.0,1
6.174,MEDIUM,16.0,1
6.174,HARD,34.0,1
5.278,MEDIUM,18.0,1
5.278,HARD,37.0,1
5.278,MEDIUM,20.0,1
5.278,HARD,38.0,1
5.278,HARD,39.0,1
5.278,MEDIUM,22.0,1
5.278,HARD,36.0,1
5.278,HARD,39.0,1
5.278,HARD,39.0,1
5.278,HARD,39.0,1
5.278,HARD,37.0,1
5.278,HARD,37.0,1
5.278,HARD,41.0,1
5.278,MEDIUM,20.0,1
5.278,HARD,38.0,1
5.278,MEDIUM,22.0,1
5.278,HARD,36.0,1
5.278,HARD,43.0,1
5.278,HARD,34.0,1
5.278,HARD,35.0,1
4.909,SOFT,12.0,1
4.909,SOFT,13.0,1
4.909,SOFT,10.0,1
4.909,SOFT,10.0,1
5.412,MEDIUM,26.0,1
5.412,MEDIUM,27.0,1
5.412,HARD,43.0,1
5.412,MEDIUM,24.0,1
5.412,HARD,33.0,1
5.412,HARD,42.0,1
5.412,SOFT,19.0,1
5.412,MEDIUM,16.0,1
5.412,HARD,41.0,1
5.412,MEDIUM,30.0,1
5.412,SOFT,16.0,1
5.412,HARD,41.0,1
5.412,SOFT,16.0,1
5.412,MEDIUM,22.0,1
5.412,HARD,35.0,1
5.412,HARD,40.0,1
5.412,HARD,43.0,1
5.412,HARD,34.0,1
5.412,MEDIUM,23.0,1
5.412,HARD,40.0,1
4.657,SOFT,16.0,1
4.657,SOFT,19.0,1
4.657,SOFT,20.0,1
4.657,MEDIUM,20.0,1
4.657,MEDIUM,16.0,1
4.657,SOFT,16.0,1
4.657,SOFT,16.0,1
4.657,SOFT,17.0,1
4.657,SOFT,13.0,1
4.657,MEDIUM,21.0,1
4.657,SOFT,23.0,1
4.657,SOFT,21.0,1
4.657,SOFT,17.0,1
4.657,MEDIUM,20.0,1
4.657,SOFT,13.0,1
4.657,MEDIUM,22.0,1
4.657,SOFT,20.0,1
4.657,SOFT,17.0,1
4.657,SOFT,12.0,1
4.657,MEDIUM,21.0,1
4.657,SOFT,21.0,1
4.657,SOFT,18.0,1
4.657,SOFT,10.0,1
4.657,SOFT,22.0,1
4.657,SOFT,14.0,1
4.657,SOFT,11.0,1
4.657,SOFT,23.0,1
4.657,SOFT,16.0,1
4.657,SOFT,14.0,1
4.657,SOFT,23.0,1
4.657,SOFT,20.0,1
4.657,SOFT,10.0,1
4.657,MEDIUM,19.0,1
4.657,SOFT,20.0,1
4.657,SOFT,22.0,1
4.657,SOFT,14.0,1
4.657,SOFT,21.0,1
4.657,SOFT,17.0,1
4.657,SOFT,16.0,1
4.657,SOFT,19.0,1
4.657,SOFT,12.0,1
4.657,SOFT,17.0,1
4.657,HARD,35.0,1
4.657,SOFT,11.0,1
4.657,SOFT,20.0,1
4.657,SOFT,13.0,1
4.657,SOFT,10.0,1
4.657,SOFT,21.0,1
3.337,MEDIUM,34.0,1
3.337,HARD,42.0,1
3.337,HARD,43.0,1
3.337,MEDIUM,27.0,1
3.337,HARD,45.0,1
3.337,MEDIUM,34.0,1
3.337,HARD,42.0,1
3.337,HARD,43.0,1
6.003,HARD,42.0,1
6.003,MEDIUM,18.0,1
6.003,HARD,33.0,1
6.003,MEDIUM,17.0,1
6.003,SOFT,15.0,1
6.003,HARD,33.0,1
6.003,HARD,33.0,1
6.003,MEDIUM,20.0,1
6.003,HARD,43.0,1
6.003,HARD,33.0,1
6.003,HARD,33.0,1
4.361,HARD,34.0,1
4.361,HARD,34.0,1
4.361,MEDIUM,28.0,1
4.361,MEDIUM,21.0,1
4.361,HARD,41.0,1
4.361,MEDIUM,29.0,1
4.361,HARD,47.0,1
4.361,HARD,38.0,1
4.361,MEDIUM,19.0,1
4.361,HARD,35.0,1
4.361,HARD,51.0,1
4.361,HARD,33.0,1
4.361,HARD,49.0,1
5.891,SOFT,13.0,1
5.891,SOFT,15.0,1
5.891,MEDIUM,35.0,1
5.891,SOFT,13.0,1
5.891,SOFT,13.0,1
5.891,MEDIUM,24.0,1
5.891,MEDIUM,16.0,1
5.891,SOFT,17.0,1
5.891,SOFT,14.0,1
5.891,MEDIUM,20.0,1
5.891,SOFT,14.0,1
5.891,SOFT,21.0,1
5.891,SOFT,12.0,1
5.891,MEDIUM,32.0,1
5.891,SOFT,13.0,1
5.891,SOFT,13.0,1
5.891,SOFT,13.0,1
5.891,SOFT,18.0,1
5.891,MEDIUM,20.0,1
5.891,SOFT,14.0,1
4.326,MEDIUM,31.0,1
4.326,MEDIUM,26.0,1
4.326,MEDIUM,31.0,1
4.326,HARD,55.0,1
4.326,HARD,44.0,1
4.326,HARD,55.0,1
4.326,HARD,56.0,1
4.326,MEDIUM,28.0,1
4.326,MEDIUM,16.0,1
4.326,HARD,54.0,1
4.326,HARD,35.0,1
5.842,HARD,37.0,1
5.842,MEDIUM,18.0,1
5.842,HARD,35.0,1
5.842,MEDIUM,18.0,1
5.842,HARD,35.0,1
5.842,HARD,36.0,1
5.842,HARD,35.0,1
5.842,MEDIUM,18.0,1
5.842,HARD,35.0,1
5.842,MEDIUM,18.0,1
5.842,HARD,35.0,1
5.842,HARD,35.0,1
5.842,HARD,35.0,1
5.842,HARD,35.0,1
5.842,MEDIUM,21.0,1
5.842,HARD,35.0,1
5.842,MEDIUM,19.0,1
5.842,HARD,36.0,1
4.381,SOFT,17.0,1
4.381,SOFT,16.0,1
4.381,SOFT,23.0,1
4.381,SOFT,18.0,1
4.381,MEDIUM,21.0,1
4.381,HARD,48.0,1
4.381,SOFT,19.0,1
4.381,SOFT,17.0,1
4.381,SOFT,23.0,1
4.381,SOFT,13.0,1
4.381,SOFT,18.0,1
4.381,SOFT,20.0,1
4.381,MEDIUM,19.0,1
4.381,MEDIUM,19.0,1
4.381,SOFT,18.0,1
4.381,SOFT,17.0,1
4.381,HARD,46.0,1
4.381,SOFT,17.0,1
4.381,MEDIUM,19.0,1
4.381,SOFT,21.0,1
4.381,SOFT,15.0,1
4.381,MEDIUM,30.0,1
4.381,MEDIUM,21.0,1
4.381,SOFT,17.0,1
4.381,SOFT,13.0,1
4.381,SOFT,19.0,1
4.381,MEDIUM,23.0,1
4.381,MEDIUM,31.0,1
7.004,SOFT,15.0,1
7.004,MEDIUM,22.0,1
7.004,MEDIUM,16.0,1
7.004,SOFT,16.0,1
7.004,SOFT,13.0,1
7.004,MEDIUM,16.0,1
4.259,SOFT,18.0,1
4.259,MEDIUM,30.0,1
4.259,SOFT,19.0,1
4.259,SOFT,14.0,1
4.259,MEDIUM,22.0,1
4.259,SOFT,16.0,1
4.259,SOFT,19.0,1
4.259,MEDIUM,26.0,1
4.259,SOFT,12.0,1
4.259,HARD,35.0,1
4.259,SOFT,20.0,1
4.259,MEDIUM,28.0,1
4.259,SOFT,19.0,1
4.259,SOFT,16.0,1
4.259,MEDIUM,23.0,1
4.259,SOFT,19.0,1
4.259,SOFT,16.0,1
4.259,MEDIUM,30.0,1
4.259,MEDIUM,21.0,1
4.259,SOFT,17.0,1
4.259,SOFT,12.0,1
4.259,MEDIUM,18.0,1
4.259,SOFT,20.0,1
4.259,SOFT,11.0,1
4.259,SOFT,17.0,1
4.259,SOFT,18.0,1
4.259,HARD,38.0,1
4.259,SOFT,19.0,1
4.259,SOFT,13.0,1
4.259,SOFT,18.0,1
4.259,MEDIUM,20.0,1
4.259,MEDIUM,27.0,1
4.259,SOFT,17.0,1
4.259,MEDIUM,29.0,1
4.259,SOFT,18.0,1
4.259,SOFT,13.0,1
4.259,SOFT,17.0,1
4.259,MEDIUM,31.0,1
4.259,SOFT,17.0,1
4.259,SOFT,16.0,1
4.259,SOFT,18.0,1
5.793,MEDIUM,23.0,1
5.793,MEDIUM,18.0,1
5.793,HARD,36.0,1
5.793,HARD,35.0,1
5.793,SOFT,11.0,1
5.793,MEDIUM,31.0,1
5.793,SOFT,12.0,1
5.793,SOFT,15.0,1
5.793,MEDIUM,19.0,1
5.793,MEDIUM,19.0,1
5.793,HARD,35.0,1
5.793,MEDIUM,19.0,1
5.793,SOFT,19.0,1
5.793,HARD,34.0,1
5.793,MEDIUM,35.0,1
5.793,SOFT,14.0,1
5.793,MEDIUM,33.0,1
5.793,SOFT,20.0,1
5.793,SOFT,19.0,1
5.793,SOFT,20.0,1
5.793,SOFT,17.0,1
5.793,SOFT,23.0,1
4.94,SOFT,19.0,1
4.94,MEDIUM,26.0,1
4.94,MEDIUM,25.0,1
4.94,SOFT,23.0,1
4.94,MEDIUM,25.0,1
4.94,SOFT,17.0,1
4.94,MEDIUM,25.0,1
4.94,SOFT,10.0,1
5.513,MEDIUM,21.0,1
5.513,MEDIUM,18.0,1
5.513,HARD,34.0,1
5.513,MEDIUM,16.0,1
5.513,HARD,38.0,1
5.513,HARD,33.0,1
5.513,MEDIUM,24.0,1
5.513,HARD,38.0,1
4.304,MEDIUM,18.0,1
4.304,SOFT,23.0,1
4.304,MEDIUM,33.0,1
4.304,HARD,37.0,1
4.304,HARD,39.0,1
4.304,HARD,42.0,1
4.304,MEDIUM,33.0,1
4.304,SOFT,23.0,1
4.304,SOFT,17.0,1
4.304,HARD,35.0,1
4.309,MEDIUM,16.0,1
4.309,SOFT,23.0,1
4.309,SOFT,19.0,1
4.309,MEDIUM,16.0,1
4.309,SOFT,22.0,1
4.309,SOFT,23.0,1
4.309,MEDIUM,24.0,1
4.309,MEDIUM,24.0,1
4.309,MEDIUM,21.0,1
4.309,SOFT,19.0,1
4.309,SOFT,23.0,1
4.309,SOFT,23.0,1
4.309,SOFT,20.0,1
4.309,SOFT,14.0,1
4.309,SOFT,16.0,1
4.309,SOFT,12.0,1
4.309,MEDIUM,19.0,1
4.309,MEDIUM,24.0,1
4.309,SOFT,22.0,1
4.309,SOFT,19.0,1
4.309,MEDIUM,20.0,1
4.309,MEDIUM,20.0,1
4.309,SOFT,19.0,1
4.309,MEDIUM,21.0,1
5.281,MEDIUM,20.0,1
5.281,HARD,38.0,1
5.281,HARD,37.0,1
5.281,MEDIUM,19.0,1
5.281,MEDIUM,19.0,1
5.281,MEDIUM,19.0,1
5.281,HARD,39.0,1
5.281,HARD,34.0,1
5.281,SOFT,20.0,1
5.281,SOFT,13.0,1
5.281,SOFT,14.0,1
5.281,HARD,43.0,1
5.281,MEDIUM,29.0,1
5.281,MEDIUM,18.0,1
5.281,HARD,37.0,1
5.412,SOFT,17.0,1
5.412,SOFT,22.0,1
5.412,SOFT,17.0,1
5.412,SOFT,20.0,1
5.412,SOFT,19.0,1
5.412,SOFT,17.0,1
5.412,SOFT,13.0,1
5.412,SOFT,18.0,1
5.412,SOFT,12.0,1
5.412,SOFT,18.0,1
5.412,SOFT,16.0,1
5.412,SOFT,11.0,1
5.412,SOFT,16.0,1
5.412,SOFT,11.0,1
5.412,SOFT,10.0,1
5.412,SOFT,20.0,1
5.412,SOFT,11.0,1
5.412,SOFT,15.0,1
5.412,SOFT,17.0,1
5.412,SOFT,12.0,1
5.412,SOFT,14.0,1
5.412,SOFT,19.0,1
5.412,SOFT,15.0,1
5.412,SOFT,10.0,1
5.412,SOFT,13.0,1
5.412,SOFT,11.0,1
5.412,SOFT,15.0,1
5.412,SOFT,16.0,1
5.412,SOFT,16.0,1
5.412,SOFT,11.0,1
6.174,MEDIUM,18.0,1
6.174,HARD,36.0,1
6.174,MEDIUM,18.0,1
6.174,HARD,33.0,1
6.174,SOFT,16.0,1
6.174,HARD,34.0,1
6.174,HARD,42.0,1
6.174,MEDIUM,17.0,1
6.174,HARD,33.0,1
6.174,MEDIUM,17.0,1
6.174,HARD,33.0,1
6.174,MEDIUM,17.0,1
6.174,MEDIUM,32.0,1
6.174,HARD,39.0,1
6.174,HARD,34.0,1
6.174,MEDIUM,31.0,1
6.174,MEDIUM,32.0,1
6.174,HARD,35.0,1
6.174,SOFT,14.0,1
5.278,HARD,47.0,1
5.278,HARD,47.0,1
5.278,HARD,48.0,1
5.278,HARD,47.0,1
5.278,HARD,47.0,1
5.278,MEDIUM,28.0,1
5.278,HARD,46.0,1
5.278,HARD,46.0,1
5.278,HARD,53.0,1
5.278,HARD,47.0,1
5.278,HARD,54.0,1
5.278,HARD,47.0,1
5.278,HARD,47.0,1
5.278,HARD,48.0,1
5.278,HARD,52.0,1
5.278,HARD,46.0,1
6.003,HARD,41.0,1
6.003,HARD,40.0,1
6.003,HARD,40.0,1
6.003,HARD,40.0,1
6.003,HARD,43.0,1
6.003,HARD,43.0,1
6.003,HARD,41.0,1
6.003,HARD,43.0,1
6.003,HARD,44.0,1
6.003,HARD,49.0,1
6.003,HARD,50.0,1
6.003,HARD,42.0,1
6.003,HARD,42.0,1
6.003,HARD,40.0,1
6.003,HARD,38.0,1
5.412,HARD,45.0,1
5.412,MEDIUM,20.0,1
5.412,HARD,37.0,1
5.412,MEDIUM,25.0,1
5.412,HARD,34.0,1
5.412,HARD,40.0,1
5.412,HARD,39.0,1
5.412,HARD,37.0,1
5.412,MEDIUM,20.0,1
5.412,HARD,40.0,1
5.412,HARD,42.0,1
5.412,HARD,39.0,1
5.412,MEDIUM,18.0,1
5.412,HARD,43.0,1
5.412,HARD,36.0,1
5.412,MEDIUM,21.0,1
5.412,HARD,43.0,1
5.412,MEDIUM,16.0,1
5.412,HARD,42.0,1
5.412,MEDIUM,22.0,1
5.412,HARD,35.0,1
5.412,HARD,33.0,1
5.412,HARD,53.0,1
5.412,HARD,42.0,1
5.412,HARD,51.0,1
3.337,HARD,47.0,1
3.337,HARD,33.0,1
3.337,HARD,55.0,1
3.337,HARD,44.0,1
3.337,HARD,52.0,1
3.337,MEDIUM,20.0,1
3.337,HARD,56.0,1
3.337,MEDIUM,18.0,1
3.337,HARD,34.0,1
3.337,HARD,51.0,1
3.337,HARD,53.0,1
3.337,MEDIUM,32.0,1
3.337,HARD,33.0,1
3.337,HARD,54.0,1
3.337,HARD,51.0,1
3.337,HARD,54.0,1
4.657,SOFT,16.0,1
4.657,MEDIUM,26.0,1
4.657,SOFT,19.0,1
4.657,MEDIUM,20.0,1
4.657,MEDIUM,27.0,1
4.657,SOFT,16.0,1
4.657,SOFT,18.0,1
4.657,MEDIUM,26.0,1
4.657,SOFT,17.0,1
4.657,SOFT,23.0,1
4.657,SOFT,22.0,1
4.657,SOFT,16.0,1
4.657,SOFT,22.0,1
4.657,HARD,50.0,1
4.657,SOFT,10.0,1
4.657,MEDIUM,32.0,1
4.657,SOFT,19.0,1
4.657,MEDIUM,26.0,1
4.657,SOFT,11.0,1
4.657,MEDIUM,18.0,1
4.657,SOFT,16.0,1
4.657,SOFT,18.0,1
4.657,SOFT,10.0,1
4.657,MEDIUM,23.0,1
4.657,HARD,34.0,1
4.657,MEDIUM,17.0,1
4.361,SOFT,10.0,1
4.361,HARD,37.0,1
4.361,HARD,37.0,1
4.361,MEDIUM,31.0,1
4.361,HARD,43.0,1
4.361,HARD,35.0,1
4.361,MEDIUM,16.0,1
4.361,HARD,39.0,1
4.361,HARD,37.0,1
4.361,HARD,38.0,1
4.361,HARD,34.0,1
4.361,HARD,36.0,1
4.361,MEDIUM,30.0,1
4.361,HARD,42.0,1
4.361,HARD,36.0,1
4.326,MEDIUM,24.0,1
4.326,MEDIUM,20.0,1
4.326,MEDIUM,27.0,1
4.326,MEDIUM,27.0,1
4.326,HARD,37.0,1
4.326,MEDIUM,29.0,1
5.891,MEDIUM,33.0,1
5.891,SOFT,22.0,1
5.891,SOFT,18.0,1
5.891,MEDIUM,28.0,1
5.891,MEDIUM,34.0,1
5.891,SOFT,22.0,1
5.891,MEDIUM,18.0,1
5.891,MEDIUM,32.0,1
5.891,MEDIUM,29.0,1
5.891,SOFT,23.0,1
