circut_length,compound,tyre_life,is_valid
5.891,MEDIUM,32.0,1
5.891,SOFT,20.0,1
5.891,SOFT,14.0,1
5.891,SOFT,20.0,1
5.891,MEDIUM,32.0,1
5.891,SOFT,19.0,1
5.891,MEDIUM,25.0,1
5.891,SOFT,20.0,1
5.891,MEDIUM,33.0,1
5.891,SOFT,22.0,1
5.891,SOFT,20.0,1
5.891,MEDIUM,29.0,1
4.381,MEDIUM,26.0,1
4.381,MEDIUM,22.0,1
4.381,MEDIUM,31.0,1
4.381,HARD,33.0,1
4.381,MEDIUM,24.0,1
4.381,MEDIUM,18.0,1
4.381,MEDIUM,24.0,1
4.381,SOFT,15.0,1
4.381,HARD,39.0,1
4.381,HARD,38.0,1
4.381,HARD,36.0,1
4.381,MEDIUM,19.0,1
4.381,HARD,36.0,1
4.381,HARD,38.0,1
4.381,MEDIUM,25.0,1
4.381,HARD,33.0,1
4.381,HARD,36.0,1
4.381,HARD,33.0,1
4.381,HARD,33.0,1
7.004,SOFT,14.0,1
7.004,SOFT,14.0,1
7.004,SOFT,13.0,1
7.004,SOFT,15.0,1
7.004,SOFT,13.0,1
7.004,SOFT,16.0,1
7.004,SOFT,12.0,1
7.004,SOFT,15.0,1
7.004,MEDIUM,19.0,1
7.004,SOFT,15.0,1
7.004,SOFT,22.0,1
7.004,SOFT,19.0,1
7.004,SOFT,20.0,1
7.004,SOFT,23.0,1
7.004,MEDIUM,20.0,1
7.004,SOFT,19.0,1
7.004,SOFT,11.0,1
7.004,MEDIUM,19.0,1
7.004,SOFT,10.0,1
7.004,SOFT,12.0,1
7.004,SOFT,20.0,1
7.004,MEDIUM,16.0,1
4.259,SOFT,13.0,1
4.259,SOFT,14.0,1
4.259,SOFT,16.0,1
4.259,SOFT,15.0,1
4.259,MEDIUM,18.0,1
4.259,SOFT,15.0,1
4.259,MEDIUM,27.0,1
4.259,SOFT,23.0,1
4.259,SOFT,16.0,1
4.259,SOFT,12.0,1
4.259,SOFT,18.0,1
4.259,SOFT,21.0,1
4.259,MEDIUM,29.0,1
4.259,SOFT,13.0,1
4.259,SOFT,15.0,1
4.259,SOFT,21.0,1
4.259,HARD,44.0,1
4.259,SOFT,16.0,1
4.259,SOFT,12.0,1
4.259,SOFT,15.0,1
5.793,MEDIUM,21.0,1
5.793,HARD,33.0,1
5.793,MEDIUM,20.0,1
5.793,MEDIUM,20.0,1
5.793,HARD,35.0,1
5.793,HARD,40.0,1
5.793,MEDIUM,18.0,1
5.793,HARD,39.0,1
5.793,MEDIUM,24.0,1
5.793,MEDIUM,22.0,1
5.793,HARD,33.0,1
5.793,MEDIUM,21.0,1
5.793,MEDIUM,19.0,1
5.793,MEDIUM,19.0,1
5.793,HARD,35.0,1
5.793,MEDIUM,23.0,1
4.94,HARD,40.0,1
4.94,HARD,42.0,1
4.94,HARD,39.0,1
4.94,MEDIUM,23.0,1
4.94,SOFT,20.0,1
4.94,SOFT,23.0,1
4.94,HARD,42.0,1
4.94,MEDIUM,19.0,1
4.94,SOFT,22.0,1
4.94,MEDIUM,20.0,1
4.94,MEDIUM,19.0,1
4.94,MEDIUM,20.0,1
4.94,HARD,42.0,1
4.94,MEDIUM,20.0,1
4.94,HARD,42.0,1
4.94,MEDIUM,20.0,1
4.94,HARD,42.0,1
4.94,MEDIUM,20.0,1
4.94,MEDIUM,20.0,1
4.94,HARD,42.0,1
4.94,MEDIUM,20.0,1
4.94,HARD,40.0,1
5.807,MEDIUM,17.0,1
5.807,MEDIUM,16.0,1
5.807,SOFT,14.0,1
5.807,SOFT,10.0,1
5.807,SOFT,12.0,1
5.807,SOFT,19.0,1
5.807,SOFT,13.0,1
5.807,MEDIUM,16.0,1
5.807,SOFT,14.0,1
5.419,MEDIUM,20.0,1
5.419,MEDIUM,20.0,1
5.419,MEDIUM,18.0,1
5.419,MEDIUM,20.0,1
5.419,MEDIUM,18.0,1
5.419,MEDIUM,20.0,1
5.419,MEDIUM,20.0,1
5.419,MEDIUM,18.0,1
5.419,SOFT,10.0,1
5.419,MEDIUM,20.0,1
5.419,MEDIUM,18.0,1
5.419,MEDIUM,18.0,1
5.419,MEDIUM,18.0,1
5.419,MEDIUM,18.0,1
5.419,MEDIUM,20.0,1
5.419,MEDIUM,18.0,1
5.419,MEDIUM,18.0,1
5.419,MEDIUM,17.0,1
5.513,MEDIUM,17.0,1
5.513,MEDIUM,18.0,1
5.513,MEDIUM,21.0,1
5.513,MEDIUM,17.0,1
5.513,MEDIUM,19.0,1
5.513,MEDIUM,20.0,1
5.513,MEDIUM,17.0,1
5.513,MEDIUM,26.0,1
5.513,MEDIUM,22.0,1
5.513,MEDIUM,19.0,1
5.513,MEDIUM,23.0,1
5.513,MEDIUM,20.0,1
4.304,HARD,38.0,1
4.304,HARD,43.0,1
4.304,MEDIUM,30.0,1
4.304,MEDIUM,31.0,1
4.304,HARD,40.0,1
4.304,HARD,37.0,1
4.304,MEDIUM,22.0,1
4.304,HARD,37.0,1
4.304,HARD,33.0,1
4.304,HARD,50.0,1
4.304,MEDIUM,23.0,1
4.304,MEDIUM,27.0,1
4.304,HARD,44.0,1
4.304,HARD,34.0,1
4.304,SOFT,11.0,1
4.304,MEDIUM,24.0,1
4.304,MEDIUM,30.0,1
4.304,HARD,41.0,1
4.304,MEDIUM,26.0,1
4.304,MEDIUM,31.0,1
4.304,HARD,40.0,1
4.304,MEDIUM,25.0,1
4.309,SOFT,15.0,1
4.309,MEDIUM,32.0,1
4.309,SOFT,15.0,1
4.309,MEDIUM,22.0,1
4.309,SOFT,21.0,1
4.309,MEDIUM,26.0,1
4.309,SOFT,23.0,1
4.309,MEDIUM,30.0,1
4.309,SOFT,21.0,1
4.309,MEDIUM,25.0,1
4.309,SOFT,23.0,1
4.309,SOFT,19.0,1
4.309,SOFT,19.0,1
4.309,SOFT,15.0,1
4.309,SOFT,23.0,1
4.309,SOFT,19.0,1
4.309,SOFT,15.0,1
4.309,SOFT,22.0,1
4.309,MEDIUM,29.0,1
4.309,SOFT,15.0,1
4.309,SOFT,22.0,1
4.309,SOFT,20.0,1
4.309,MEDIUM,26.0,1
4.309,SOFT,15.0,1
4.309,SOFT,16.0,1
4.309,SOFT,13.0,1
6.201,MEDIUM,16.0,1
6.201,HARD,33.0,1
6.201,MEDIUM,21.0,1
6.201,HARD,35.0,1
6.201,SOFT,10.0,1
6.201,HARD,34.0,1
6.201,MEDIUM,24.0,1
6.201,HARD,33.0,1
6.201,MEDIUM,20.0,1
6.201,MEDIUM,26.0,1
5.281,MEDIUM,16.0,1
5.281,HARD,36.0,1
5.281,HARD,43.0,1
5.281,MEDIUM,17.0,1
5.281,MEDIUM,21.0,1
5.281,HARD,33.0,1
5.412,SOFT,20.0,1
5.412,SOFT,20.0,1
5.412,SOFT,15.0,1
5.412,SOFT,21.0,1
5.412,SOFT,17.0,1
5.412,SOFT,14.0,1
5.412,SOFT,14.0,1
5.412,SOFT,16.0,1
5.412,SOFT,15.0,1
5.412,SOFT,15.0,1
5.412,SOFT,18.0,1
5.412,SOFT,11.0,1
5.412,SOFT,16.0,1
5.412,SOFT,21.0,1
5.412,SOFT,14.0,1
5.412,SOFT,15.0,1
5.412,SOFT,16.0,1
5.412,SOFT,10.0,1
5.412,SOFT,12.0,1
5.412,SOFT,13.0,1
5.412,SOFT,12.0,1
5.412,SOFT,10.0,1
6.174,HARD,43.0,1
6.174,HARD,43.0,1
6.174,HARD,44.0,1
6.174,HARD,43.0,1
6.174,HARD,42.0,1
6.174,HARD,43.0,1
6.174,HARD,42.0,1
6.174,HARD,43.0,1
6.174,MEDIUM,33.0,1
6.174,HARD,42.0,1
6.174,HARD,42.0,1
6.174,HARD,43.0,1
6.174,SOFT,19.0,1
6.174,SOFT,17.0,1
6.174,HARD,43.0,1
6.174,SOFT,14.0,1
5.278,MEDIUM,25.0,1
5.278,MEDIUM,16.0,1
5.278,HARD,37.0,1
5.807,MEDIUM,16.0,1
5.807,MEDIUM,18.0,1
5.807,MEDIUM,18.0,1
5.807,SOFT,13.0,1
5.807,SOFT,11.0,1
5.807,SOFT,18.0,1
5.807,MEDIUM,19.0,1
5.807,MEDIUM,16.0,1
5.807,SOFT,11.0,1
5.451,HARD,33.0,1
5.451,MEDIUM,18.0,1
5.451,HARD,33.0,1
5.451,SOFT,20.0,1
5.451,MEDIUM,21.0,1
5.451,HARD,35.0,1
5.451,SOFT,12.0,1
5.451,HARD,33.0,1
5.451,SOFT,16.0,1
5.451,HARD,33.0,1
5.451,MEDIUM,19.0,1
5.451,HARD,33.0,1
5.451,MEDIUM,22.0,1
5.451,HARD,34.0,1
5.451,HARD,35.0,1
5.451,MEDIUM,17.0,1
5.451,HARD,39.0,1
5.451,HARD,33.0,1
5.451,MEDIUM,16.0,1
5.412,MEDIUM,23.0,1
5.412,HARD,34.0,1
5.412,HARD,45.0,1
5.412,HARD,38.0,1
5.412,MEDIUM,29.0,1
5.412,HARD,43.0,1
5.412,MEDIUM,28.0,1
5.412,MEDIUM,29.0,1
5.412,HARD,35.0,1
5.412,MEDIUM,34.0,1
5.412,MEDIUM,27.0,1
5.412,HARD,33.0,1
5.412,SOFT,11.0,1
4.909,MEDIUM,24.0,1
4.909,HARD,39.0,1
4.909,MEDIUM,22.0,1
4.909,HARD,42.0,1
4.909,MEDIUM,25.0,1
4.909,HARD,38.0,1
4.909,MEDIUM,23.0,1
4.909,HARD,41.0,1
4.909,HARD,36.0,1
4.909,MEDIUM,27.0,1
4.909,HARD,36.0,1
4.909,MEDIUM,21.0,1
4.909,HARD,37.0,1
4.909,MEDIUM,26.0,1
4.909,HARD,50.0,1
4.909,HARD,49.0,1
4.909,HARD,51.0,1
4.909,HARD,37.0,1
4.909,HARD,33.0,1
4.909,MEDIUM,32.0,1
4.909,HARD,54.0,1
4.909,HARD,34.0,1
4.909,MEDIUM,20.0,1
3.337,MEDIUM,19.0,1
4.361,MEDIUM,16.0,1
4.361,MEDIUM,17.0,1
4.361,MEDIUM,28.0,1
4.361,MEDIUM,26.0,1
4.361,MEDIUM,23.0,1
4.657,SOFT,20.0,1
4.657,SOFT,22.0,1
4.657,SOFT,23.0,1
4.657,SOFT,22.0,1
4.657,SOFT,19.0,1
4.657,MEDIUM,27.0,1
4.657,SOFT,18.0,1
4.657,MEDIUM,21.0,1
4.657,SOFT,22.0,1
4.657,SOFT,15.0,1
4.657,MEDIUM,21.0,1
4.657,SOFT,23.0,1
4.657,SOFT,16.0,1
4.657,SOFT,21.0,1
4.657,SOFT,20.0,1
4.657,SOFT,17.0,1
4.657,SOFT,16.0,1
4.657,SOFT,12.0,1
4.657,SOFT,19.0,1
4.657,MEDIUM,27.0,1
4.657,SOFT,17.0,1
4.657,SOFT,16.0,1
4.657,MEDIUM,26.0,1
4.657,SOFT,11.0,1
4.657,SOFT,20.0,1
4.657,HARD,37.0,1
4.657,SOFT,10.0,1
4.657,MEDIUM,19.0,1
4.657,HARD,36.0,1
4.657,SOFT,22.0,1
4.657,MEDIUM,18.0,1
4.657,SOFT,21.0,1
4.657,SOFT,14.0,1
4.326,MEDIUM,22.0,1
4.326,MEDIUM,24.0,1
4.326,MEDIUM,25.0,1
4.326,MEDIUM,20.0,1
4.326,MEDIUM,22.0,1
4.326,MEDIUM,24.0,1
4.326,MEDIUM,21.0,1
4.326,MEDIUM,18.0,1
4.326,SOFT,10.0,1
4.326,MEDIUM,25.0,1
4.326,HARD,33.0,1
4.326,HARD,34.0,1
4.326,MEDIUM,29.0,1
4.326,MEDIUM,19.0,1
4.326,MEDIUM,28.0,1
4.326,MEDIUM,21.0,1
4.326,MEDIUM,19.0,1
4.326,MEDIUM,25.0,1
4.326,HARD,34.0,1
4.326,MEDIUM,21.0,1
5.891,SOFT,15.0,1
5.891,MEDIUM,26.0,1
5.891,SOFT,15.0,1
5.891,MEDIUM,26.0,1
5.891,SOFT,16.0,1
5.891,MEDIUM,26.0,1
5.891,MEDIUM,27.0,1
5.891,MEDIUM,27.0,1
5.891,MEDIUM,27.0,1
5.891,SOFT,14.0,1
5.891,SOFT,14.0,1
5.891,SOFT,15.0,1
5.891,SOFT,14.0,1
5.891,MEDIUM,19.0,1
5.891,SOFT,14.0,1
5.891,SOFT,14.0,1
5.891,SOFT,19.0,1
5.891,SOFT,12.0,1
5.891,SOFT,14.0,1
5.891,MEDIUM,27.0,1
4.381,MEDIUM,18.0,1
4.381,MEDIUM,24.0,1
4.381,MEDIUM,23.0,1
4.381,HARD,33.0,1
4.381,MEDIUM,20.0,1
4.381,MEDIUM,29.0,1
4.381,HARD,41.0,1
4.381,SOFT,17.0,1
4.381,MEDIUM,32.0,1
4.381,MEDIUM,31.0,1
4.381,HARD,34.0,1
4.381,HARD,41.0,1
4.381,HARD,40.0,1
4.381,HARD,40.0,1
4.381,HARD,35.0,1
4.381,MEDIUM,17.0,1
4.381,HARD,34.0,1
4.381,HARD,33.0,1
7.004,MEDIUM,16.0,1
7.004,MEDIUM,17.0,1
7.004,MEDIUM,24.0,1
4.259,MEDIUM,28.0,1
4.259,HARD,44.0,1
4.259,MEDIUM,27.0,1
4.259,HARD,45.0,1
4.259,HARD,48.0,1
4.259,MEDIUM,33.0,1
4.259,HARD,39.0,1
4.259,MEDIUM,30.0,1
4.259,HARD,42.0,1
4.259,MEDIUM,29.0,1
4.259,HARD,43.0,1
4.259,SOFT,21.0,1
4.259,SOFT,23.0,1
4.259,MEDIUM,32.0,1
4.259,HARD,39.0,1
4.259,HARD,40.0,1
4.259,HARD,42.0,1
4.259,MEDIUM,30.0,1
4.259,HARD,41.0,1
4.259,HARD,42.0,1
4.259,HARD,41.0,1
4.259,HARD,49.0,1
4.259,SOFT,14.0,1
4.259,HARD,39.0,1
4.259,HARD,40.0,1
4.259,MEDIUM,31.0,1
4.259,SOFT,15.0,1
4.259,HARD,33.0,1
5.793,HARD,38.0,1
5.793,MEDIUM,16.0,1
5.793,MEDIUM,19.0,1
5.793,HARD,34.0,1
5.793,MEDIUM,17.0,1
5.793,HARD,36.0,1
5.793,HARD,39.0,1
5.793,HARD,37.0,1
5.793,HARD,43.0,1
5.793,MEDIUM,21.0,1
5.793,HARD,34.0,1
5.793,HARD,38.0,1
6.003,HARD,37.0,1
6.003,HARD,50.0,1
6.003,HARD,37.0,1
6.003,HARD,41.0,1
6.003,MEDIUM,16.0,1
6.003,HARD,35.0,1
6.003,HARD,35.0,1
6.003,HARD,36.0,1
6.003,HARD,50.0,1
6.003,HARD,52.0,1
6.003,HARD,37.0,1
6.003,HARD,41.0,1
6.003,HARD,39.0,1
6.003,HARD,37.0,1
6.003,HARD,33.0,1
6.003,HARD,39.0,1
6.003,HARD,40.0,1
4.94,MEDIUM,30.0,1
4.94,HARD,33.0,1
4.94,MEDIUM,27.0,1
4.94,HARD,35.0,1
4.94,SOFT,19.0,1
4.94,HARD,45.0,1
4.94,HARD,49.0,1
4.94,HARD,37.0,1
4.94,HARD,33.0,1
4.94,MEDIUM,29.0,1
4.94,HARD,34.0,1
4.94,MEDIUM,27.0,1
4.94,HARD,33.0,1
4.94,SOFT,10.0,1
4.94,SOFT,12.0,1
5.513,MEDIUM,18.0,1
5.513,HARD,38.0,1
5.513,MEDIUM,26.0,1
5.513,MEDIUM,26.0,1
5.513,MEDIUM,26.0,1
5.513,MEDIUM,17.0,1
5.513,MEDIUM,18.0,1
5.513,HARD,37.0,1
5.513,MEDIUM,27.0,1
5.513,HARD,36.0,1
5.513,MEDIUM,31.0,1
5.513,MEDIUM,31.0,1
5.513,HARD,39.0,1
5.513,MEDIUM,21.0,1
5.513,HARD,35.0,1
5.513,HARD,40.0,1
5.513,MEDIUM,16.0,1
5.513,HARD,40.0,1
4.304,MEDIUM,32.0,1
4.304,HARD,39.0,1
4.304,MEDIUM,30.0,1
4.304,HARD,41.0,1
4.304,MEDIUM,31.0,1
4.304,HARD,38.0,1
4.304,HARD,43.0,1
4.304,HARD,40.0,1
4.304,MEDIUM,26.0,1
4.304,HARD,45.0,1
4.304,HARD,41.0,1
4.304,MEDIUM,29.0,1
4.304,HARD,41.0,1
4.304,HARD,42.0,1
4.304,HARD,45.0,1
4.304,HARD,47.0,1
4.304,HARD,48.0,1
4.304,HARD,50.0,1
4.304,MEDIUM,22.0,1
4.304,HARD,44.0,1
4.304,MEDIUM,28.0,1
4.304,HARD,39.0,1
4.304,MEDIUM,26.0,1
6.201,HARD,33.0,1
6.201,HARD,33.0,1
5.419,MEDIUM,35.0,1
5.419,MEDIUM,27.0,1
5.419,MEDIUM,27.0,1
5.419,SOFT,17.0,1
5.419,MEDIUM,35.0,1
5.419,SOFT,20.0,1
5.419,SOFT,17.0,1
5.419,MEDIUM,35.0,1
5.419,MEDIUM,30.0,1
5.419,MEDIUM,34.0,1
5.281,MEDIUM,29.0,1
5.281,HARD,44.0,1
5.281,HARD,38.0,1
5.281,HARD,35.0,1
5.281,HARD,45.0,1
5.281,HARD,45.0,1
5.281,HARD,33.0,1
5.281,MEDIUM,26.0,1
5.281,HARD,34.0,1
5.281,MEDIUM,25.0,1
5.281,HARD,33.0,1
5.281,MEDIUM,22.0,1
5.281,HARD,35.0,1
5.451,HARD,42.0,1
5.451,HARD,41.0,1
5.451,HARD,42.0,1
5.451,HARD,43.0,1
5.451,HARD,45.0,1
5.451,HARD,44.0,1
5.451,HARD,36.0,1
5.451,HARD,36.0,1
5.451,HARD,39.0,1
5.451,HARD,45.0,1
5.451,HARD,35.0,1
5.451,HARD,41.0,1
5.807,MEDIUM,21.0,1
5.807,HARD,33.0,1
5.807,HARD,34.0,1
5.807,MEDIUM,24.0,1
5.807,MEDIUM,23.0,1
5.807,SOFT,20.0,1
5.807,SOFT,15.0,1
5.807,HARD,38.0,1
5.807,MEDIUM,33.0,1
5.807,SOFT,20.0,1
5.807,HARD,33.0,1
5.807,MEDIUM,22.0,1
