circut_length,compound,tyre_life
5.412,SOFT,17.0
5.412,SOFT,16.0
5.412,MEDIUM,13.0
5.412,SOFT,14.0
5.412,SOFT,17.0
5.412,MEDIUM,18.0
5.412,HARD,13.0
5.412,SOFT,18.0
5.412,MEDIUM,18.0
5.412,SOFT,13.0
5.412,SOFT,17.0
5.412,SOFT,14.0
5.412,MEDIUM,14.0
5.412,HARD,17.0
5.412,SOFT,15.0
5.412,SOFT,15.0
5.412,SOFT,19.0
5.412,MEDIUM,15.0
5.412,SOFT,14.0
5.412,SOFT,18.0
5.412,SOFT,20.0
5.412,MEDIUM,7.0
5.412,SOFT,12.0
5.412,SOFT,14.0
5.412,SOFT,23.0
5.412,MEDIUM,12.0
5.412,SOFT,14.0
5.412,SOFT,15.0
5.412,MEDIUM,14.0
5.412,SOFT,15.0
5.412,SOFT,16.0
5.412,SOFT,13.0
5.412,MEDIUM,22.0
5.412,MEDIUM,13.0
5.412,SOFT,14.0
5.412,SOFT,15.0
5.412,MEDIUM,22.0
5.412,MEDIUM,8.0
5.412,SOFT,15.0
5.412,SOFT,19.0
5.412,SOFT,18.0
5.412,MEDIUM,7.0
5.412,SOFT,13.0
5.412,MEDIUM,17.0
5.412,SOFT,16.0
5.412,HARD,11.0
5.412,SOFT,13.0
5.412,SOFT,14.0
5.412,MEDIUM,16.0
5.412,HARD,13.0
5.412,SOFT,17.0
5.412,MEDIUM,24.0
5.412,HARD,17.0
5.412,SOFT,4.0
5.412,SOFT,15.0
5.412,SOFT,13.0
5.412,HARD,17.0
5.412,MEDIUM,17.0
5.412,SOFT,16.0
5.412,SOFT,12.0
5.412,MEDIUM,23.0
5.412,SOFT,24.0
5.412,SOFT,17.0
5.412,SOFT,19.0
5.412,MEDIUM,11.0
5.412,SOFT,16.0
5.412,SOFT,14.0
5.412,SOFT,18.0
5.412,MEDIUM,13.0
5.412,SOFT,15.0
5.412,SOFT,18.0
5.412,HARD,19.0
5.412,MEDIUM,12.0
5.412,SOFT,14.0
5.412,SOFT,17.0
5.412,MEDIUM,22.0
5.412,MEDIUM,9.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,MEDIUM,15.0
6.174,HARD,35.0
6.174,MEDIUM,15.0
6.174,HARD,35.0
6.174,MEDIUM,16.0
6.174,HARD,20.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,MEDIUM,14.0
6.174,HARD,37.0
6.174,HARD,39.0
6.174,MEDIUM,15.0
6.174,MEDIUM,13.0
6.174,HARD,35.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,HARD,38.0
6.174,MEDIUM,14.0
6.174,MEDIUM,8.0
6.174,HARD,28.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,HARD,41.0
6.174,MEDIUM,10.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,MEDIUM,15.0
6.174,MEDIUM,16.0
6.174,HARD,34.0
6.174,MEDIUM,16.0
6.174,HARD,19.0
5.278,MEDIUM,18.0
5.278,HARD,21.0
5.278,MEDIUM,21.0
5.278,HARD,37.0
5.278,MEDIUM,20.0
5.278,HARD,38.0
5.278,HARD,39.0
5.278,MEDIUM,14.0
5.278,MEDIUM,4.0
5.278,MEDIUM,22.0
5.278,HARD,36.0
5.278,HARD,4.0
5.278,MEDIUM,3.0
5.278,HARD,19.0
5.278,HARD,39.0
5.278,HARD,39.0
5.278,MEDIUM,20.0
5.278,MEDIUM,18.0
5.278,HARD,39.0
5.278,HARD,57.0
5.278,SOFT,1.0
5.278,MEDIUM,21.0
5.278,HARD,37.0
5.278,MEDIUM,21.0
5.278,HARD,37.0
5.278,MEDIUM,17.0
5.278,HARD,41.0
5.278,MEDIUM,20.0
5.278,HARD,38.0
5.278,MEDIUM,22.0
5.278,HARD,36.0
5.278,MEDIUM,16.0
5.278,HARD,43.0
5.278,HARD,24.0
5.278,HARD,2.0
5.278,MEDIUM,13.0
5.278,HARD,11.0
5.278,HARD,34.0
5.278,MEDIUM,23.0
5.278,HARD,35.0
5.278,MEDIUM,22.0
4.909,MEDIUM,32.0
4.909,SOFT,12.0
4.909,MEDIUM,32.0
4.909,SOFT,13.0
4.909,MEDIUM,44.0
4.909,MEDIUM,45.0
4.909,MEDIUM,45.0
4.909,MEDIUM,30.0
4.909,SOFT,4.0
4.909,SOFT,10.0
4.909,MEDIUM,45.0
4.909,MEDIUM,48.0
4.909,MEDIUM,47.0
4.909,MEDIUM,46.0
4.909,MEDIUM,45.0
4.909,MEDIUM,45.0
4.909,MEDIUM,44.0
4.909,MEDIUM,44.0
4.909,MEDIUM,44.0
4.909,MEDIUM,44.0
4.909,MEDIUM,36.0
4.909,SOFT,10.0
4.909,MEDIUM,14.0
4.909,HARD,32.0
5.412,MEDIUM,26.0
5.412,HARD,31.0
5.412,MEDIUM,16.0
5.412,HARD,24.0
5.412,SOFT,8.0
5.412,MEDIUM,27.0
5.412,HARD,14.0
5.412,MEDIUM,16.0
5.412,MEDIUM,15.0
5.412,HARD,43.0
5.412,MEDIUM,24.0
5.412,HARD,33.0
5.412,HARD,42.0
5.412,MEDIUM,19.0
5.412,MEDIUM,12.0
5.412,HARD,30.0
5.412,MEDIUM,15.0
5.412,MEDIUM,11.0
5.412,HARD,30.0
5.412,SOFT,19.0
5.412,MEDIUM,16.0
5.412,HARD,41.0
5.412,MEDIUM,6.0
5.412,MEDIUM,30.0
5.412,HARD,11.0
5.412,SOFT,16.0
5.412,HARD,41.0
5.412,SOFT,16.0
5.412,MEDIUM,18.0
5.412,HARD,22.0
5.412,MEDIUM,22.0
5.412,HARD,35.0
5.412,MEDIUM,14.0
5.412,HARD,40.0
5.412,MEDIUM,3.0
5.412,HARD,43.0
5.412,MEDIUM,15.0
5.412,MEDIUM,27.0
5.412,HARD,30.0
5.412,HARD,34.0
5.412,MEDIUM,23.0
5.412,HARD,40.0
5.412,MEDIUM,17.0
5.412,MEDIUM,26.0
4.657,SOFT,16.0
4.657,MEDIUM,15.0
4.657,SOFT,19.0
4.657,MEDIUM,22.0
4.657,SOFT,20.0
4.657,MEDIUM,20.0
4.657,MEDIUM,16.0
4.657,SOFT,16.0
4.657,SOFT,16.0
4.657,MEDIUM,23.0
4.657,MEDIUM,15.0
4.657,SOFT,17.0
4.657,SOFT,13.0
4.657,MEDIUM,21.0
4.657,MEDIUM,14.0
4.657,SOFT,24.0
4.657,MEDIUM,1.0
4.657,SOFT,23.0
4.657,MEDIUM,26.0
4.657,SOFT,21.0
4.657,SOFT,17.0
4.657,MEDIUM,20.0
4.657,MEDIUM,32.0
4.657,SOFT,13.0
4.657,MEDIUM,22.0
4.657,SOFT,20.0
4.657,SOFT,17.0
4.657,SOFT,12.0
4.657,MEDIUM,21.0
4.657,SOFT,21.0
4.657,SOFT,18.0
4.657,SOFT,10.0
4.657,MEDIUM,21.0
4.657,SOFT,22.0
4.657,SOFT,14.0
4.657,SOFT,11.0
4.657,MEDIUM,21.0
4.657,SOFT,23.0
4.657,SOFT,16.0
4.657,SOFT,24.0
4.657,SOFT,24.0
4.657,MEDIUM,24.0
4.657,SOFT,14.0
4.657,SOFT,23.0
4.657,MEDIUM,17.0
4.657,SOFT,20.0
4.657,SOFT,10.0
4.657,MEDIUM,19.0
4.657,SOFT,20.0
4.657,SOFT,22.0
4.657,SOFT,14.0
4.657,SOFT,21.0
4.657,MEDIUM,35.0
4.657,SOFT,17.0
4.657,SOFT,16.0
4.657,MEDIUM,20.0
4.657,SOFT,19.0
4.657,SOFT,12.0
4.657,MEDIUM,14.0
4.657,SOFT,24.0
4.657,SOFT,17.0
4.657,SOFT,3.0
4.657,MEDIUM,28.0
4.657,HARD,35.0
4.657,SOFT,11.0
4.657,MEDIUM,14.0
4.657,SOFT,20.0
4.657,MEDIUM,9.0
4.657,SOFT,13.0
4.657,SOFT,10.0
4.657,MEDIUM,18.0
4.657,SOFT,21.0
3.337,HARD,8.0
3.337,MEDIUM,34.0
3.337,HARD,28.0
3.337,HARD,42.0
3.337,HARD,8.0
3.337,MEDIUM,34.0
3.337,HARD,30.0
3.337,MEDIUM,34.0
3.337,HARD,43.0
3.337,HARD,11.0
3.337,HARD,58.0
3.337,HARD,23.0
3.337,MEDIUM,27.0
3.337,SOFT,7.0
3.337,HARD,22.0
3.337,MEDIUM,27.0
3.337,HARD,29.0
3.337,MEDIUM,34.0
3.337,HARD,30.0
3.337,HARD,45.0
3.337,HARD,30.0
3.337,MEDIUM,34.0
3.337,HARD,29.0
3.337,MEDIUM,13.0
3.337,HARD,8.0
3.337,MEDIUM,34.0
3.337,HARD,21.0
3.337,HARD,25.0
3.337,HARD,42.0
3.337,HARD,30.0
3.337,HARD,43.0
3.337,HARD,1.0
3.337,MEDIUM,61.0
3.337,HARD,30.0
3.337,MEDIUM,34.0
3.337,HARD,30.0
6.003,MEDIUM,18.0
6.003,HARD,15.0
6.003,HARD,18.0
6.003,MEDIUM,9.0
6.003,HARD,42.0
6.003,MEDIUM,16.0
6.003,HARD,17.0
6.003,HARD,18.0
6.003,MEDIUM,18.0
6.003,HARD,33.0
6.003,MEDIUM,9.0
6.003,HARD,12.0
6.003,HARD,31.0
6.003,MEDIUM,17.0
6.003,MEDIUM,11.0
6.003,HARD,23.0
6.003,MEDIUM,9.0
6.003,HARD,29.0
6.003,SOFT,15.0
6.003,MEDIUM,9.0
6.003,HARD,20.0
6.003,HARD,21.0
6.003,MEDIUM,9.0
6.003,HARD,14.0
6.003,HARD,33.0
6.003,MEDIUM,18.0
6.003,HARD,33.0
6.003,MEDIUM,18.0
6.003,MEDIUM,20.0
6.003,HARD,31.0
6.003,MEDIUM,9.0
6.003,HARD,24.0
6.003,HARD,19.0
6.003,HARD,9.0
6.003,MEDIUM,16.0
6.003,HARD,27.0
6.003,MEDIUM,10.0
6.003,HARD,43.0
6.003,MEDIUM,9.0
6.003,MEDIUM,17.0
6.003,HARD,33.0
6.003,MEDIUM,9.0
6.003,HARD,24.0
6.003,HARD,19.0
6.003,HARD,33.0
4.361,MEDIUM,9.0
4.361,HARD,34.0
4.361,HARD,27.0
4.361,MEDIUM,5.0
4.361,HARD,31.0
4.361,HARD,34.0
4.361,HARD,8.0
4.361,MEDIUM,28.0
4.361,HARD,21.0
4.361,MEDIUM,21.0
4.361,HARD,41.0
4.361,MEDIUM,29.0
4.361,HARD,47.0
4.361,MEDIUM,24.0
4.361,MEDIUM,7.0
4.361,HARD,63.0
4.361,MEDIUM,9.0
4.361,HARD,38.0
4.361,MEDIUM,18.0
4.361,HARD,30.0
4.361,HARD,22.0
4.361,MEDIUM,19.0
4.361,HARD,30.0
4.361,HARD,21.0
4.361,MEDIUM,19.0
4.361,HARD,30.0
4.361,HARD,21.0
4.361,MEDIUM,19.0
4.361,HARD,30.0
4.361,MEDIUM,21.0
4.361,HARD,19.0
4.361,HARD,23.0
4.361,MEDIUM,28.0
4.361,MEDIUM,9.0
4.361,HARD,35.0
4.361,HARD,26.0
4.361,MEDIUM,19.0
4.361,MEDIUM,6.0
4.361,HARD,14.0
4.361,HARD,51.0
4.361,MEDIUM,20.0
4.361,HARD,29.0
4.361,HARD,21.0
4.361,MEDIUM,9.0
4.361,HARD,28.0
4.361,HARD,33.0
4.361,MEDIUM,19.0
4.361,HARD,26.0
4.361,HARD,25.0
4.361,HARD,49.0
5.891,SOFT,1.0
5.891,MEDIUM,11.0
5.891,MEDIUM,11.0
5.891,HARD,16.0
5.891,SOFT,13.0
5.891,MEDIUM,1.0
5.891,SOFT,15.0
5.891,HARD,11.0
5.891,MEDIUM,1.0
5.891,MEDIUM,4.0
5.891,MEDIUM,35.0
5.891,SOFT,13.0
5.891,MEDIUM,1.0
5.891,MEDIUM,32.0
5.891,HARD,6.0
5.891,SOFT,13.0
5.891,MEDIUM,1.0
5.891,MEDIUM,24.0
5.891,HARD,27.0
5.891,MEDIUM,3.0
5.891,MEDIUM,16.0
5.891,HARD,26.0
5.891,MEDIUM,15.0
5.891,SOFT,1.0
5.891,MEDIUM,23.0
5.891,MEDIUM,30.0
5.891,MEDIUM,1.0
5.891,SOFT,17.0
5.891,HARD,21.0
5.891,SOFT,14.0
5.891,SOFT,1.0
5.891,MEDIUM,1.0
5.891,MEDIUM,20.0
5.891,HARD,12.0
5.891,SOFT,6.0
5.891,SOFT,14.0
5.891,MEDIUM,1.0
5.891,SOFT,21.0
5.891,HARD,16.0
5.891,MEDIUM,34.0
5.891,HARD,6.0
5.891,SOFT,12.0
5.891,MEDIUM,1.0
5.891,MEDIUM,32.0
5.891,HARD,6.0
5.891,SOFT,13.0
5.891,MEDIUM,3.0
5.891,MEDIUM,18.0
5.891,HARD,20.0
5.891,SOFT,13.0
5.891,SOFT,1.0
5.891,SOFT,5.0
5.891,MEDIUM,35.0
5.891,MEDIUM,15.0
5.891,MEDIUM,1.0
5.891,MEDIUM,19.0
5.891,HARD,19.0
5.891,SOFT,13.0
5.891,SOFT,1.0
5.891,SOFT,18.0
5.891,MEDIUM,20.0
5.891,SOFT,14.0
5.891,HARD,1.0
5.891,MEDIUM,1.0
4.326,MEDIUM,13.0
4.326,HARD,23.0
4.326,MEDIUM,35.0
4.326,MEDIUM,12.0
4.326,HARD,1.0
4.326,HARD,57.0
4.326,MEDIUM,1.0
4.326,HARD,2.0
4.326,HARD,21.0
4.326,HARD,27.0
4.326,MEDIUM,31.0
4.326,MEDIUM,12.0
4.326,MEDIUM,26.0
4.326,HARD,32.0
4.326,MEDIUM,13.0
4.326,MEDIUM,31.0
4.326,MEDIUM,43.0
4.326,MEDIUM,15.0
4.326,HARD,55.0
4.326,HARD,26.0
4.326,HARD,44.0
4.326,MEDIUM,11.0
4.326,HARD,2.0
4.326,HARD,57.0
4.326,HARD,24.0
4.326,MEDIUM,46.0
4.326,MEDIUM,12.0
4.326,HARD,1.0
4.326,HARD,57.0
4.326,MEDIUM,16.0
4.326,HARD,55.0
4.326,MEDIUM,14.0
4.326,HARD,56.0
4.326,MEDIUM,28.0
4.326,MEDIUM,43.0
4.326,MEDIUM,16.0
4.326,HARD,54.0
4.326,HARD,21.0
4.326,MEDIUM,52.0
4.326,MEDIUM,27.0
4.326,HARD,30.0
4.326,MEDIUM,12.0
4.326,HARD,1.0
4.326,HARD,35.0
4.326,MEDIUM,11.0
4.326,HARD,63.0
4.326,MEDIUM,6.0
4.326,HARD,5.0
5.842,MEDIUM,16.0
5.842,HARD,37.0
5.842,HARD,18.0
5.842,MEDIUM,35.0
5.842,MEDIUM,18.0
5.842,HARD,35.0
5.842,MEDIUM,18.0
5.842,HARD,35.0
5.842,MEDIUM,18.0
5.842,MEDIUM,20.0
5.842,HARD,36.0
5.842,MEDIUM,8.0
5.842,HARD,10.0
5.842,HARD,20.0
5.842,MEDIUM,11.0
5.842,HARD,7.0
5.842,MEDIUM,18.0
5.842,HARD,35.0
5.842,MEDIUM,9.0
5.842,HARD,13.0
5.842,HARD,26.0
5.842,MEDIUM,18.0
5.842,HARD,35.0
5.842,MEDIUM,18.0
5.842,HARD,35.0
5.842,MEDIUM,18.0
5.842,HARD,35.0
5.842,MEDIUM,18.0
5.842,HARD,35.0
5.842,MEDIUM,9.0
5.842,HARD,9.0
5.842,HARD,35.0
5.842,MEDIUM,21.0
5.842,HARD,35.0
5.842,HARD,18.0
5.842,MEDIUM,24.0
5.842,MEDIUM,11.0
5.842,MEDIUM,19.0
5.842,HARD,19.0
5.842,MEDIUM,3.0
5.842,MEDIUM,18.0
5.842,HARD,36.0
5.842,HARD,18.0
5.842,HARD,18.0
4.381,SOFT,17.0
4.381,MEDIUM,22.0
4.381,MEDIUM,32.0
4.381,SOFT,16.0
4.381,MEDIUM,30.0
4.381,SOFT,23.0
4.381,SOFT,18.0
4.381,MEDIUM,24.0
4.381,MEDIUM,28.0
4.381,MEDIUM,21.0
4.381,HARD,48.0
4.381,MEDIUM,21.0
4.381,MEDIUM,18.0
4.381,HARD,15.0
4.381,SOFT,19.0
4.381,SOFT,17.0
4.381,MEDIUM,33.0
4.381,SOFT,23.0
4.381,MEDIUM,6.0
4.381,HARD,29.0
4.381,MEDIUM,32.0
4.381,SOFT,2.0
4.381,SOFT,13.0
4.381,MEDIUM,20.0
4.381,SOFT,18.0
4.381,SOFT,20.0
4.381,SOFT,2.0
4.381,MEDIUM,19.0
4.381,MEDIUM,19.0
4.381,SOFT,29.0
4.381,MEDIUM,27.0
4.381,HARD,24.0
4.381,SOFT,18.0
4.381,SOFT,17.0
4.381,MEDIUM,31.0
4.381,HARD,23.0
4.381,MEDIUM,23.0
4.381,HARD,46.0
4.381,SOFT,17.0
4.381,MEDIUM,28.0
4.381,HARD,28.0
4.381,MEDIUM,19.0
4.381,MEDIUM,32.0
4.381,SOFT,21.0
4.381,MEDIUM,21.0
4.381,HARD,20.0
4.381,MEDIUM,28.0
4.381,SOFT,15.0
4.381,MEDIUM,32.0
4.381,MEDIUM,23.0
4.381,MEDIUM,17.0
4.381,MEDIUM,30.0
4.381,SOFT,26.0
4.381,MEDIUM,18.0
4.381,MEDIUM,21.0
4.381,SOFT,17.0
4.381,SOFT,13.0
4.381,SOFT,19.0
4.381,MEDIUM,23.0
4.381,MEDIUM,31.0
4.381,MEDIUM,26.0
7.004,SOFT,15.0
7.004,MEDIUM,15.0
7.004,MEDIUM,14.0
7.004,MEDIUM,10.0
7.004,HARD,12.0
7.004,MEDIUM,22.0
7.004,MEDIUM,14.0
7.004,MEDIUM,13.0
7.004,HARD,17.0
7.004,MEDIUM,11.0
7.004,MEDIUM,14.0
7.004,HARD,19.0
7.004,SOFT,3.0
7.004,MEDIUM,22.0
7.004,MEDIUM,17.0
7.004,SOFT,5.0
7.004,MEDIUM,16.0
7.004,MEDIUM,12.0
7.004,HARD,18.0
7.004,MEDIUM,11.0
7.004,HARD,16.0
7.004,MEDIUM,16.0
7.004,HARD,18.0
7.004,MEDIUM,12.0
7.004,MEDIUM,14.0
7.004,MEDIUM,10.0
7.004,HARD,16.0
7.004,MEDIUM,18.0
7.004,MEDIUM,14.0
7.004,MEDIUM,14.0
7.004,SOFT,16.0
7.004,MEDIUM,12.0
7.004,HARD,20.0
7.004,MEDIUM,12.0
7.004,MEDIUM,12.0
7.004,HARD,20.0
7.004,MEDIUM,12.0
7.004,MEDIUM,13.0
7.004,HARD,16.0
7.004,MEDIUM,15.0
7.004,MEDIUM,1.0
7.004,MEDIUM,14.0
7.004,HARD,16.0
7.004,MEDIUM,13.0
7.004,MEDIUM,15.0
7.004,HARD,19.0
7.004,MEDIUM,12.0
7.004,SOFT,13.0
7.004,MEDIUM,14.0
7.004,HARD,19.0
7.004,MEDIUM,3.0
7.004,MEDIUM,13.0
7.004,HARD,19.0
7.004,SOFT,9.0
7.004,MEDIUM,13.0
7.004,MEDIUM,16.0
7.004,HARD,15.0
4.259,SOFT,18.0
4.259,MEDIUM,30.0
4.259,HARD,8.0
4.259,SOFT,19.0
4.259,SOFT,14.0
4.259,MEDIUM,22.0
4.259,HARD,25.0
4.259,SOFT,16.0
4.259,SOFT,19.0
4.259,MEDIUM,26.0
4.259,HARD,16.0
4.259,MEDIUM,16.0
4.259,SOFT,12.0
4.259,HARD,35.0
4.259,SOFT,25.0
4.259,SOFT,20.0
4.259,MEDIUM,28.0
4.259,HARD,11.0
4.259,SOFT,19.0
4.259,SOFT,16.0
4.259,MEDIUM,23.0
4.259,HARD,19.0
4.259,SOFT,19.0
4.259,MEDIUM,14.0
4.259,MEDIUM,20.0
4.259,HARD,13.0
4.259,SOFT,28.0
4.259,SOFT,16.0
4.259,MEDIUM,30.0
4.259,HARD,2.0
4.259,MEDIUM,21.0
4.259,MEDIUM,21.0
4.259,HARD,13.0
4.259,SOFT,17.0
4.259,SOFT,12.0
4.259,SOFT,28.0
4.259,MEDIUM,18.0
4.259,SOFT,20.0
4.259,SOFT,11.0
4.259,MEDIUM,16.0
4.259,HARD,20.0
4.259,SOFT,8.0
4.259,SOFT,17.0
4.259,SOFT,18.0
4.259,HARD,38.0
4.259,SOFT,19.0
4.259,MEDIUM,17.0
4.259,HARD,30.0
4.259,SOFT,13.0
4.259,SOFT,18.0
4.259,MEDIUM,29.0
4.259,HARD,19.0
4.259,MEDIUM,24.0
4.259,MEDIUM,13.0
4.259,MEDIUM,20.0
4.259,HARD,14.0
4.259,SOFT,27.0
4.259,SOFT,9.0
4.259,MEDIUM,27.0
4.259,HARD,14.0
4.259,SOFT,24.0
4.259,SOFT,17.0
4.259,MEDIUM,29.0
4.259,HARD,14.0
4.259,SOFT,18.0
4.259,SOFT,13.0
4.259,MEDIUM,13.0
4.259,HARD,28.0
4.259,SOFT,17.0
4.259,MEDIUM,31.0
4.259,HARD,17.0
4.259,MEDIUM,9.0
4.259,SOFT,17.0
4.259,SOFT,16.0
4.259,SOFT,18.0
5.793,SOFT,25.0
5.793,MEDIUM,23.0
5.793,SOFT,5.0
5.793,MEDIUM,18.0
5.793,HARD,36.0
5.793,MEDIUM,7.0
5.793,HARD,35.0
5.793,SOFT,11.0
5.793,MEDIUM,31.0
5.793,SOFT,12.0
5.793,MEDIUM,21.0
5.793,SOFT,15.0
5.793,SOFT,8.0
5.793,MEDIUM,19.0
5.793,HARD,22.0
5.793,MEDIUM,24.0
5.793,HARD,22.0
5.793,SOFT,6.0
5.793,MEDIUM,19.0
5.793,HARD,29.0
5.793,SOFT,5.0
5.793,MEDIUM,18.0
5.793,HARD,35.0
5.793,MEDIUM,19.0
5.793,HARD,27.0
5.793,SOFT,19.0
5.793,HARD,34.0
5.793,MEDIUM,35.0
5.793,SOFT,14.0
5.793,SOFT,9.0
5.793,MEDIUM,33.0
5.793,SOFT,20.0
5.793,SOFT,19.0
5.793,MEDIUM,34.0
5.793,MEDIUM,33.0
5.793,SOFT,20.0
5.793,MEDIUM,12.0
5.793,MEDIUM,30.0
5.793,SOFT,17.0
5.793,SOFT,6.0
5.793,MEDIUM,15.0
5.793,HARD,32.0
5.793,SOFT,5.0
5.793,SOFT,23.0
5.793,HARD,24.0
5.793,SOFT,9.0
5.793,MEDIUM,35.0
4.94,MEDIUM,5.0
4.94,SOFT,19.0
4.94,MEDIUM,26.0
4.94,MEDIUM,24.0
4.94,MEDIUM,25.0
4.94,MEDIUM,24.0
4.94,MEDIUM,26.0
4.94,MEDIUM,2.0
4.94,SOFT,23.0
4.94,MEDIUM,23.0
4.94,MEDIUM,25.0
4.94,MEDIUM,7.0
4.94,SOFT,17.0
4.94,MEDIUM,25.0
4.94,MEDIUM,24.0
4.94,MEDIUM,14.0
4.94,MEDIUM,6.0
4.94,SOFT,10.0
4.94,SOFT,6.0
5.513,MEDIUM,13.0
5.513,HARD,22.0
5.513,MEDIUM,21.0
5.513,MEDIUM,11.0
5.513,HARD,22.0
5.513,HARD,25.0
5.513,MEDIUM,14.0
5.513,HARD,24.0
5.513,MEDIUM,18.0
5.513,HARD,18.0
5.513,MEDIUM,4.0
5.513,HARD,34.0
5.513,MEDIUM,18.0
5.513,HARD,17.0
